Title,Rating,Body
excellent machine with unacceptable screen,2.0,"About Me/ExpectationsI purchased this chromebook after having a wonderful experience with the Samsung Chromebook 3. I was very excited about the prospect of an updated version of the chromebook and when I saw that it had 6 GB of ram—I had high hopes of this being the perfect compromise between its shortcomings (aesthetics and screen size) to gain the advantages that I wanted (speed and weight). I am a college professor who uses the chromebook as a secondary machine to browse the web, manage emails, and watch videos on Youtube. While I do these things I also use a small combination of android productivity apps, either Pandora or Spotify playing in the background, and 8-12 tabs open at once. In the spectrum of chrome users, I believe I am representative of the basic or moderate level consumer. I am familiar with the operating system and have fair expectations of what a chromebook can and can’t do, but I am not a power user and do not push the system with external monitors, complicated apps, or use linux.Pros1. Speed: This chromebook utilizes the Celeron N4000 processor and 6 gb of ram. I really think that anyone who hasn’t had a chromebook or hasn’t updated in a while will be happy if they find a machine that uses the N4000 processor. Although it is only a dual-core Celeron processor that doesn’t wow you with its base speed, it has a 4 mb cache. Most of the processors in budget machines in the past generations had 1-2 mb caches at most. This change is one that you actually feel when using the chromebook because this will increase the pace of things I believe most users like such as: switching between tabs, quickly loading pages, and multitasking. The 6 gb of ram is a unique selling point and a really excellent choice by Samsung. Chromebooks usually come in two ram options 4 gb vs. 8 gb with the 8 gb units typically much rarer and unavailable as an upgrade on many units. While they run perfectly well on 4 gb, the 6 gb is a comfortable upgrade. It is impossible for me to isolate how much of the buttery smooth speed of the machine is due to the processor or due to the extra 2 gb of ram from the norm, but the combination makes for a wonderful user experience.2. Size: The weight of the machine and the form factor are very satisfying. This device adds very little weight to your bag while traveling and for walks across campus, that lighter frame is much appreciated. I enjoy the fact that despite being so light that it does not feel overly cheap; it’s far sturdier than one would expect for a cheap and light device. Overall, for anyone who enjoys the lightweight portability provided by an 11.6 inch machine—this one fits the bill while feeling substantial enough that it avoids feeling flimsy.Con:Screen: This is the first time that I can say that on a machine that I otherwise enjoyed that there was a single feature that could be a deal-breaker, but the screen is genuinely that bad. It isn’t because of the resolution because most chromebooks, especially in the budget range and at 11.6 inch screen size, all have the same resolution. It also isn’t because it is a TN panel because the Samsung Chromebook 3 had a manageable TN panel that didn’t break its usability. This panel is just wretched. It has ridiculously specific viewing angles. If you don’t hit it spot on with your eyes then colors wash out and text gets blurry at the top or bottom of the screen. It’s so grainy, washed out, and pixelated that it unfits the device for almost all of my primary needs. The brightness even seems less than the Samsung Chromebook 3. I am just flabbergasted that they selected such a bad panel that feels like a step back from their best-selling previous model. The screen was literally so bad I wondered if I had a defective model, but my experience seems consistent with the limited reviews available for this machine.ConclusionThis machine was one that I wanted to love and everything that I saw on paper that I believed I would like—I did. The speed is there and the 6 gb of ram cannot be undersold as an excellent choice by Samsung, so I was happy about that. The keyboard was serviceable, which I expected and would have been satisfied with if it hadn’t been for the screen. The screen is just unacceptable at any price point. The speed and smooth operation cannot offset the quality of the panel being used here. You look at the screen for everything you do unless you are using an external monitor and this one is almost guaranteed to give you eyestrain and become an irritating chore to constantly rework the angle of your eyes to the screen and the angle of the screen on the hinge. In my opinion it just isn’t worth it. This might sound like I am overly critical or I am knocking the machine too much for one issue, but an otherwise spectacular experience can, indeed, be ruined if one of the key components used is as bad as this screen. Showroom this model against alternative 11.6 inch chromebooks and you will see what I mean. Don’t select nicer models, IPS screens, or more expensive models; put it side-by-side with other budget TN options and you will see that at the same resolution and same size that the numbers lie and this screen is simply worse than the alternatives. Despite my desire to love it and the excellent choices made my Samsung for the processor and ram combo, the screen panel choice outweighs those good choices and destroys the quality of the final product."
Poor screen quality,2.0,I bought the 6 GB ram model directly from Samsung.  If the screen was better this would be five stars.  Good build quality and the little details seemed to be well done.  The screen though makes this useless.  The screen is highly directional.  Slight movement causes the screen to changebrightnesss level to such a degree that it results in eye strain.  This happened with just the slight movement from resting it on my lap and trying to work on it.  Even when viewed from the best angle the text appears fuzzy and shadowed.  The screen quality is unfortunate since this would be a fantastic unit otherwise.
Product good - service not so much,4.0,"This is my first Chromebook. I did alot of inquiring and research prior to purchasing. When it arrived, therse was an issue with getting signed on. After trying myself for a couple of days, I decided to call support. I am pretty sure the gentleman I spoke with has never seen a Chromebook. He had to stop and look up every possible issue and even argued with me at times. One for instance, he told me to find the 2 buttons on the scroll and click the right one. THERE ARE NOT TWO buttons. It is one smooth pad like most laptops have. After an hour of speaking with him, I was getting quite irritated. He finally decided I had to mail it in for service. They sent me a shipping label with an incorrect name and mailing address. I then had to contact them again. The ""supervisor"" stated she would send a corrected label. This NEVER came. Eventually my son came for visit from 2000 miles away and had it fixed in less than 15 minutes. SAMSUNG: PLEASE get some people in your tech support that have a clue.Once signed on, this is a great little machine. I read so many negatives about the poor quality of the screen and I DO NOT see a problem. It is clear and bright. The biggest thing I am noticing is the speed - WAY faster than my old laptop!"
Love this thing,5.0,"Listen, this is a sub $300 Chromebook— they had to cut costs somewhere. Is the TN panel great? No. But this laptop cost me $302 with tax, has 6gb of RAM and 64gb of storage, will be updated at least until 2026,  also does what I need it to do (homework/writing). I have the Samsung Chrome book 3 too, and the 4 is a nice upgrade. This is a light laptop with a small footprint. so I can easily carry it back and forth to campus. Also, the new design is freaking sexy. Probably my favorite laptop of all time."
Great Chromebook,4.0,"This is a great Chromebook with good keyboard, touchpad, and great battery life. The display is not as good as those laptops costing 2 to 4 times as much but it is fine for daily use and I don't find it be a problem even when using it for long periods of time."
Great Internet machine,4.0,"I ordered this for my wife. It is perfect for her to surf the Internet and check email quickly. As others have said, the screen could be better. The screen is not good when viewed at from an angle. But then, it's an inexpensive item. It's the first Chromebook I've ever purchased. The speed is great. It boots almost instantly. It has great battery life. It is very light. The keyboard is responsive. It has to USB 3.0 ports and bluetooth. I connected an inexpensive bluetooth mouse to the system without a problem. My wife could not be happier."
Poor quality,3.0,Pixels went out after less than 6 months.
Very unhappy and disappointed.,1.0,This product worked the first day for 15 min.  We charged it over night.  It now turns on for 1 sec. and then turns off immediately!  I am so upset.  This was a gift for my son so that he could do schoolwork on it.  What a waste of money.  I am trying to return it and there is no way to do it
Excellent laptop for under $300,5.0,"I am writing this based on the fact that this cost $234.  I see many reviews here complaining about the screen.  Remember what you have purchased.  This laptop is fast, light and well made.  There is even a good amount of storage for a personal computer.  Yes, the screen is not as vivid as a $1000 computer, if that is very important to you, buy a more expensive laptop.  For those who need to use email, browse the web, stream etc. you can not go wrong with this.  There is one USB port and one USB C port.  There are inexpensive attachments if you need hdmi or more ports.  I highly recommend this chromebook."
Great Product!,3.0,"I was absolutely delighted when I received this product. I originally bought it to replace my lenovo laptop that I mistakenly broke. I am a college student, so I wanted a product that could handle loading files and was light weight, making it easier to carry around campus. It came in a day early, and was much tinier then expected, which I am delighted about. Its super lightweight and seems to be running everything just fine. I will update if anything happens.***UPDATE***Okay, so at first I gave this chromebook a 5/5 star rating. However, after a few weeks of using it I have discovered some quirks about the chromebook that I find to be rather irritating as I am a creature of habit. The first one being, there is NO delete button. I don't think this would be a deal breaker at first, but it is slightly annoying. The second one being, whenever I want to write an email, I can't press ""tab"" to indent anymore.  In fact, it seems like I can't do it in any box that I can put text in, such as the box for this review. The third thing, being that you can NOT right click without pressing the ""alt"" tab. Last but not least, there is no way to add apps to the background of this device. The shortcuts are the only way to have apps available. While I understand this isn't necessarily a laptop and that features guaranteed to be different, all four of these issues combined has caused enough irritation for me to write this review. Don't get me wrong, this laptop is great for school. The web camera is wonderful, I don't have any connection issues, but these weird perks are very annoying. Had I known that the chromebooks were designed like that, it would have eased my frustrations getting use to this, or I would have considered getting something else."
"If poor saturation matters, consider Grayscale",5.0,"You will get what you pay for, but not in my case as long as performance & battery life concerned. If it comes with an IPS or OLED instead of a low-end TN screen, it wouldn't be an affordable one.A TN LCD panel has a narrow viewing angle, however, it features a much faster response time than the IPS counterpart, so a gamer's choice nowadays. FYI, WebGL Aquarium test scores amazing 60 fps with 500 fishes running on this Chromebook.The poor saturation is not so terrible but barely acceptable. If that matters, a less distracting grayscale over an addictive color display would be desirable. Unfortunately, a google system-wide grayscale option is not available yet, but as a workaround, a chrome web browser addon like ""Grayscale the Web"" does a great job.I appreciate they have tried to meet the least common multiple requirements with minimalism in mind."
Malfunctioning key board and inept Samsung Technical Support,1.0,"I am a long time Samsung customer.  All of my family cellphones and chromebooks are Samsung.  I usually have good luck with them. My older Samsung chromebooks were a dream to use so I thought by purchasing this - it would be the same.  but right after the month I purchased from Amazon - the keyboard malfunctioned. When I type letters, I would get other letters with it.  My numbers on my keyboard no longer worked which made it difficult for me to type in my very strong password. I had to go and use the virtual keyboard to log in. I have spent 4 hours with Samsung technical service - 1 hour of waiting on the telephone that did not count with the texting support. One technical support agent said I need to get it fixed since it appeared to be a hardware issue - but Samsung website directed me to another technical support agent when I informed it I wanted to get it fixed. Same old instructions of reset and Chrome OS updates - to no avail.  I would return this but Amazon does not accept this since this is after 30 days of purchase (it is day 40) so I will have to either find a person to fix this or buy a new one."
Good little laptop.,5.0,"People are complaining about the screen, so I expected it to be so much worse than it actually is. For a laptop at this price point the screen is more than satisfactory. Easy to setup and use. My six year old twins are doing great on the two I purchased."
Not Recomended,1.0,"Everything good with the product the first month. I bought it on August 6 2020. Then it just not working on Oct 6, 2020 It went off working with it and does not turn on. The battery was full. I purchased th asurion insurance for 45.99 that says its all covered for 2 years and they say I have to use the manufacturer guarantee. Here in PR there is no samsung store that gives service to chromebooks. Only 2 months of use and its not working. Waste of money. I called customer service ""amazon"" and they can't offer a resolution for this, only to call the asurion plan. Real bad experience. NOT RECOMMENDED."
"Alt key defect, bad quality management!",3.0,"My alt key is oblique ,it mean left side is higher than righ side, just alt key , do I need upload photo? Maybe it can help you understand the defect  ，“Alt key is oblique,left side is higher! your Quality management is bad!”Btw ,chrome os can’t install some apk data ,not like normal Android os, it need additional step(turn on chrome os developer mode to install apps from sources other than the play store)"
Great for kids and distance learning,5.0,"I have a ten year old In 4th who is using this for distance learning this year.  This is our family’s first experience with a Chromebook and we think it’s great.  It’s a great value for the money and perfect for an elementary school student who just needs basic internet, zoom, etc.  I was worried about screen quality after reading the reviews but it’s totally fine - don’t expect the quality of an ipad, smartphone, or tv, but it is far from terrible.  I’ve sat next to him during lessons and it’s fine from my diagonal view as well."
The best budget Chromebook on the market!!,5.0,"This Chromebook is lightening fast ... very responsive with no lag. I've had 30+ tabs open with no loss of performance. Others have mentioned the screen was an issue for them but I think the display is fantastic. I typically don't need to adjust the viewing angle unless I'm constantly moving around, but that's a user issue not a hardware one. I can't recommend this Chromebook highly enough! Go on ahead and buy it. You'll be glad you did."
Good buy,5.0,"I was really happy upon receiving this. I was not very computer friendly, and this is stupid easy to navigate. I am going to college after being out of high school 22 years, and this is making it really easy for me. Everything is in my chromebook and easy to access. It came well packaged, brand new, no problems. The only thing that bugs me is there is no numerical pad on the side like on desktop, but considering its size, I get it. The screen also could be clearer. I definitely wouldn't recommend rhis for shopping online, but for schoolwork that I need to get done, it's fantastic."
Great deal!,5.0,We had to get 2 of these for our girls starting backvto school. They only gave us 2 weeks notice before school that they would need a chromebook. They even arrived 4 days before they were expected. They were brand new and easy to setup.
ordered 3 - 2 worked and the one shut down after a couple hours,3.0,we ordered 3 for grandchildren to do schoolwork as the chromebooks were what they used at school.  the three came early.  after we delivered them they started catching up on schoolwork immediately but one shut down after a couple of hours and acted like it had a short - the screen would come back on but the keyboard would not work.we tried to call customer service but no answer and the chatline said to try to repair it ourselves. in the end we returned the laptop because the replace button was not available and were charged almost $100.00 more to replace it. That was 2 days ago and still not shipped! So disappointed but times are bad right now - just need the computer for schoolwork and have always depended on Amazon before! these were not refurbished and we expected more than 2 hours or at least some customer service
Easy to use for your basic tasks,5.0,I need a basic computer for writing papers and going online. It needed to do nothing fancy so this works great. I am majorily computer illeterate and had no issues navigating this. It holds a good charge too.
Amazing,5.0,"I've used Chromebooks for years and have tried many brands. Samsung is the best, hands down.Some of my favorite features are long battery life, fast charging, no fan (it doesn't get super hot), ease of use, and simplicity. You can log on to a new one with your Gmail credentials and voila, you're up and running, just as before.This new version offers some great improvements.- Better performance. No lag during Zoom calls if you're on a decent connection, for example.- Type C charger you can share with other devices like Android smartphones- More solid shell and materials overallThe camera has not improved and I think my old one has a tiny advantage here. My Zoom setup looks brighter on my previous Chromebook for example.Overall, I love this Chromebook. I have a full laptop with a Linux build to do things that aren't suited for Chromebook but this is an excellent, lightweight solution for most of what I do for work.  High recommend."
Great Chromebook for the less discerning,5.0,"I needed a new Chromebook, but I specifically did not want the convertible kind with a touchscreen, and I did not want to pay more for features I actively did not want.  I also wanted one with an 11"" screen that had more memory and ram than the cheapest models.  This was pretty much the only Chromebook that fit those criteria.  I saw that most everyone liked it except for the screen, and I figured I had low enough demands for screen performance that it was worth a try.  I got a great deal on the 6/64 version, and I love it.  It's fast, lightweight, good keyboard, and the screen is fine for my philistine level of pixel appreciation.  If you like to watch movies etc. on your Chromebook I'd suggest taking into account the warnings from the other fine reviewers here, but if you just want to read, write, browse, and watch YouTube videos, you'll probably be satisfied."
The Oregon Trail of Screens,2.0,"Have you ever thought to yourself ""Man, I wish I could go back to Windows 97 and my giant desktop computer with it's impossibly dull screen""? Oh... no? OK, then you don't want this computer. I was actually shocked when I turned it on. Even Kindle Paperwhite's have a brighter screen. Mine also had a pixel out which was the icing on the cake. It's decent speed, but honestly I'd rather use a tablet than have this. Unless you are using it because you absolutely have to have a computer and you're straining your eyes to type a paper, look elsewhere. I bought it on Prime Day and trusted the quality of Samsung but I was let down."
Power charger is the HDMI out-put as well.,4.0,"A good little machine.  If you just want to use it to surf the internet and that sort of thing, can't beat the price.  I knew the screen wasn't going to be the best before i bought it, and in fairness the images are a little flat, but again I just use it as an internet surfer platform.  HOWEVER,..., what i wish I did know before i bought it, and would have been a reason why i WOULD NOT HAVE BOUGHT IT is the ports available.  It DOES NOT have an HDMI port, only the mini port which is how you charge it.  So i would also use my Chrome book to watch streaming on my TV, connecting it to my larger TV, to do so i had to buy an adapter to plug in a full size HDMI into the mini, but in doing so you CANNOT charge it, so if you are watching a movie, or anything you have to run off battery power, it will always have enough to get you through a movie, but the stress of watching the batter life slowly march down to zero really plays on my anxiety.  Further there is only one USB port, so if you have a cordless mouse plugged in you can't plug in any other USB, example, if you want to download from your phone you have to unplug the cordless mouse, which drives me nuts.  But do note that it has bluetooth capabilities so you can always get a blue tooth mouse to solve that problem, I'm just not tech savy enough to pull that off.  in the end the lack of a full size HDMI AND also a charger would make me buy a different machine, but i already have it, and i make it work, stress and all when running it off battery at my work station or TV.  Just something i wish i had looked into more before i bought it.  Hope that helps.  Also there isn't a 'Delete' button, why ?"
I’m done,1.0,"I don’t know if I received this broken or what, but I took it out of the box and set it up for my husband and it wouldn’t turn on, or do anything. So that was $200 down the drain. Now it’s a play computer for my year old son...."
Screen is absolute garbage,1.0,"I got two of these for the kids to use. The screens are absolutely horrible. Also NOT touchscreen despite misleading description. They make them borderline unusable. I also ordered acer Chromebook R11 and an acer spin 311. Both screens are so much better at basically the same price point, with similar build quality and features.DO NOT BUY THIS."
"Excellent. Very Authentic Craftsmanship. Shout-out to Samsung and Chrome Developer s, Manufacturer s",5.0,"Excellent. Very Authentic Craftsmanship.Shout-out to Samsung and Chrome Developer s, Manufacturer s, etc., Teams that were involved making this fluid Invention from out of our Lovely element's within our Earthly Creation.I'm taking my BA in Information Technology concentration Software Development & Analysis... and this is a great Beast of a Machine.🎯👁️🗝️⚡💯🤑👀"
Don't waste your money,1.0,"I have bought a lot of Samsung products in my 61 years. I have never had a minute's trouble with any of them until I bought this Samsung Chromebook. I am extremely dissatisfied with it. The cursor freezes up when I go to click on the time to get to settings. To be able to see the screen, I have to use the arrows to move back and forth across the screen. It is a small screen but still you should be able to see all of it after setting the resolution. I set the resolution but it won't stay. I am constantly having to reset it. To me, it is a waste of money. I so wish I had gotten the Windows Operating system. I do not recommend this product. Sadly, it is past the 30 days, and can't be returned."
Seemed worth the money but major hidden costs,1.0,"Fourth Update:A brief moment of connectivity assured me: ""You're connected to a Ethernet network."" Not just getting norked out of your two hundred smackers and your valuable time. Right? Not just serving to provide a connection to someone who lacks a valid visa, Right? Now's the time to dish the real dirt on the first purchase: it burned my legs, there was some bad circuitry or programming. This device is labeled as made in VietNam but I wouldn't be sure it's even that good. The price is cheap and the build is like from Mattel but this is no toy. Buyer Beware!!!The replacement seemed new enough & didn't burn my legs or fingers but I had to return it. Along with the bargain chromebook came some dedicated representatives of the seller/manufacturer...? Who set up camp across the creek from my cabin & have been diggling with the connections for weeks. Its been a total hassle. Still I wanted to avoid the bother of returning a $200 dollar purchase & tried & tried to make it work but just like the first purchased (killswitched) there has been an administrative kaibosh on internet access at the last day to return the thing. I was one hundred percent connected yet denied internet access (see screenshot) & had to use my older chromebook to set up the return.Updates: (third review)The replacement netbook from Samsung. Could Amazon be the unwitting host of a seller of stolen or even counterfeit goods? More and more programming irregularities keep  showing up. Like the pic I'm posting now: Prompted to use Guest Mode and/or Sign In when I already AM in Guest Mode...Still I really wanted to love the netbook but closer inspection showed more and more signs of excessive factory-programmed presets and physical scuff marks, even dings in the cover that evidenced this was a used chromebook. I would still give it four stars for the moments it did work, at one point my one-bar cell connection ran an hour-long documentary on Prime Video with virtually no interruptions, BUT once I attempted to use the logged-in owner account and install ZOOM and Bitdefender the thing just DIED!!! It won't charge, it won't turn on, NOTHING!!!Thank God I'm within the 30-day return period and bought the Assurion plan, but how disappointing to have to return it, it looks like if this sort of problem continues I might be profiled as a difficult customer.The main reason I selected this 6GB RAM Samsung Chromebook: the USB charging function, and for this I'd give it ten stars if possible.Drawbacks: The hi-speed charger that came with the unit just about overheated & I had to purchase the 45w adapter and a couple C-to-USB adapters separately, but my dream of keeping my off-grid connection charged from my rinkydink solar setup has now come true!Bonus Tips from a Non-techie: I'm not a techie here so I'm just wondering if the compatability between my Samsung phone and chromebook has boosted the connectivity through the use of tethering plus bluetooth. Whether it's the faster processor or whatnot, what took hours to load a 3-minute video before now loads instantly and this has saved me the time and expense of buying a signal booster.https://www.amazon.com/gp/product/B07K8G7663/ref=ppx_yo_dt_b_asin_title_o08_s01?ie=UTF8&psc=1https://www.amazon.com/gp/product/B08QMSZR2C/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&psc=1"
EXCELENTE PARA ESTUDIANTES Y NIÑOS,5.0,"Excelente para estudiantes, conectividad a internet wifi súper rápido, permite instalar office, zoom y full aplicaciones del play store. Tambien instale para mi hija netflix e iptv y corrieron super bien. Algo que me encantó fue el sonido realmente espectacular. Otra funcion super practica es la transmitir al chromecast la pantalla y sonido inalámbricamente. Super liviana y bonita (parece Mac 😅). Para trabajo no la recomiendo ya que las apps de office no son las completas; por ejemplo tablas dinámicas no hay la opción en excel."
Very handy and portable; not perfect,4.0,"Pros...I travel quite a lot and was looking for a simple, lightweight chromebook to check email, browse the internet and watch movies on, on the go. This works GREAT for that and I like that the battery life is good enough that I don't need to bring my cord on a one-day trip.The cons..... As others has mentioned, if you are not at the right angle, the screen will be black while you are watching something. That's easy to remedy when sitting, watching a movie alone; but it was very annoying while doing a fitness class via Zoom or watching something with another person. Also Zoom related, I found the camera to be pretty poor, especially in lower light. Final con is that it keeps giving me a message that I have ejected the SD card when I have not."
Worst of Everything,2.0,This is a phone disguised as a laptop and it can't even do what a phone can do. You cannot download and install any software. Not even office programs. It allows you to use Google docs but not very well. I feel like I've been beaten back before the '80s. Like I think word perfect did a better job. It only allows you to download phone apps which aren't super compatible on a laptop. This thing is a wreck and a mess. I usually love Google products. I have a Google Pixel phone. I have Gmail. I like these things. But Chromebooks are garbage. Save yourself the hassle and buy a laptop. You don't need a laptop pretending to be a phone that can't do half the things of phone can do and none of the things a laptop can do. You'd be better off buying a keyboard and attaching it to your phone. Horrible product.
"After only 2 months, it won't charge.",3.0,I absolutely love my new Chromebook but I'm very frustrated with the battery issues. The battery suddenly refuses to charge and I've done every step to troubleshoot and correct the problem.  Even my IT guy can't get it to cooperate.  I expected better from Samsung as my tablets and other products work just fine.
Satisfied Owner,4.0,"I got this for my daughter. She was used to the Asus 12.5"" chromebook with backlit keyboard and touch screen but has had no real complaints about this one.It is comfortable and light enough that she moves around with it easily.It has been working well since she got it for Christmas, 2020. It is being used for online classes so it gets the job done."
The screen on this Chromebook is useless.,1.0,"I was looking for something sample, the size is perfect and it looks good but the screen is useless on this one."
Power cord died in less than two months.,2.0,"Power cord died in less than two months.  I haven't been able to use the chromebook much because I have been working a lot, so there is absolutely no reason the cord should have died already.  I refuse to give it a higher review because this is ridiculous and I believe speaks volumes for the poor quality this company is fine with producing and selling."
Perfect,5.0,"I wasn't actually sure what to expect but I'm seriously happy with this little Samsung Chromebook. My Toshiba Satellite finally gave up the ghost after 8 years of Windows updates and I decided to go with something smaller, cheaper, simpler and lighter. This Chromebook is perfect for me. If you want a screen that is seriously crisp, don't choose this one. The screen is small and sometimes causes eye strain, although with the light turned lower my eyes can last for hours. I love the weight and size of this laptop. It's perfect for my online genealogy work and for emails and reading the news. Thanks. I highly recommend for anyone who doesn't need high resolution or a disk for gaming or graphics work."
